 Nome da IES, Sigla da IES, Categoria Administrativa, Área de Avaliação, Município do Curso, Sigla da UF, CPC (Faixa)
UNIVERSIDADE FEDERAL DE MATO GROSSO,UFMT,Pública Federal,ENGENHARIA CIVIL,Cuiabá,MT,4
UNIVERSIDADE FEDERAL DE MATO GROSSO,UFMT,Pública Federal,AGRONOMIA,Cuiabá,MT,4
UNIVERSIDADE FEDERAL DE MATO GROSSO,UFMT,Pública Federal,ENGENHARIA FLORESTAL,Cuiabá,MT,4
UNIVERSIDADE FEDERAL DE MATO GROSSO,UFMT,Pública Federal,MEDICINA,Cuiabá,MT,3
UNIVERSIDADE FEDERAL DE MATO GROSSO,UFMT,Pública Federal,ENGENHARIA ELÉTRICA,Cuiabá,MT,5
UNIVERSIDADE FEDERAL DE MATO GROSSO,UFMT,Pública Federal,ENFERMAGEM,Cuiabá,MT,4
UNIVERSIDADE FEDERAL DE MATO GROSSO,UFMT,Pública Federal,NUTRIÇÃO,Cuiabá,MT,4
UNIVERSIDADE FEDERAL DE MATO GROSSO,UFMT,Pública Federal,MEDICINA VETERINÁRIA,Cuiabá,MT,4
UNIVERSIDADE FEDERAL DE MATO GROSSO,UFMT,Pública Federal,ARQUITETURA E URBANISMO,Cuiabá,MT,4
UNIVERSIDADE DE BRASÍLIA,UNB,Pública Federal,ARQUITETURA E URBANISMO,Brasília,DF,5
UNIVERSIDADE DE BRASÍLIA,UNB,Pública Federal,AGRONOMIA,Brasília,DF,4
UNIVERSIDADE DE BRASÍLIA,UNB,Pública Federal,ENGENHARIA CIVIL,Brasília,DF,5
UNIVERSIDADE DE BRASÍLIA,UNB,Pública Federal,ENGENHARIA ELÉTRICA,Brasília,DF,5
UNIVERSIDADE DE BRASÍLIA,UNB,Pública Federal,ENGENHARIA MECÂNICA,Brasília,DF,5
UNIVERSIDADE DE BRASÍLIA,UNB,Pública Federal,ENGENHARIA FLORESTAL,Brasília,DF,4
UNIVERSIDADE DE BRASÍLIA,UNB,Pública Federal,MEDICINA,Brasília,DF,4
UNIVERSIDADE DE BRASÍLIA,UNB,Pública Federal,ODONTOLOGIA,Brasília,DF,4
UNIVERSIDADE DE BRASÍLIA,UNB,Pública Federal,ENFERMAGEM,Brasília,DF,4
UNIVERSIDADE DE BRASÍLIA,UNB,Pública Federal,NUTRIÇÃO,Brasília,DF,5
UNIVERSIDADE FEDERAL DE SERGIPE,UFS,Pública Federal,ENGENHARIA CIVIL,São Cristóvão,SE,5
UNIVERSIDADE FEDERAL DE SERGIPE,UFS,Pública Federal,ENGENHARIA QUÍMICA,São Cristóvão,SE,4
UNIVERSIDADE FEDERAL DE SERGIPE,UFS,Pública Federal,ENFERMAGEM,Aracaju,SE,4
UNIVERSIDADE FEDERAL DE SERGIPE,UFS,Pública Federal,MEDICINA,Aracaju,SE,4
UNIVERSIDADE FEDERAL DE SERGIPE,UFS,Pública Federal,ODONTOLOGIA,Aracaju,SE,4
UNIVERSIDADE FEDERAL DE SERGIPE,UFS,Pública Federal,AGRONOMIA,São Cristóvão,SE,4
UNIVERSIDADE FEDERAL DO AMAZONAS,UFAM,Pública Federal,ENGENHARIA CIVIL,Manaus,AM,4
UNIVERSIDADE FEDERAL DO AMAZONAS,UFAM,Pública Federal,ENGENHARIA FLORESTAL,Manaus,AM,4
UNIVERSIDADE FEDERAL DO AMAZONAS,UFAM,Pública Federal,MEDICINA,Manaus,AM,2
UNIVERSIDADE FEDERAL DO AMAZONAS,UFAM,Pública Federal,FARMÁCIA,Manaus,AM,4
UNIVERSIDADE FEDERAL DO AMAZONAS,UFAM,Pública Federal,ODONTOLOGIA,Manaus,AM,4
UNIVERSIDADE FEDERAL DO AMAZONAS,UFAM,Pública Federal,AGRONOMIA,Manaus,AM,4
UNIVERSIDADE FEDERAL DO PIAUÍ,UFPI,Pública Federal,MEDICINA,Teresina,PI,3
UNIVERSIDADE FEDERAL DO PIAUÍ,UFPI,Pública Federal,ODONTOLOGIA,Teresina,PI,5
UNIVERSIDADE FEDERAL DO PIAUÍ,UFPI,Pública Federal,ENFERMAGEM,Teresina,PI,4
UNIVERSIDADE FEDERAL DO PIAUÍ,UFPI,Pública Federal,NUTRIÇÃO,Teresina,PI,4
UNIVERSIDADE FEDERAL DO PIAUÍ,UFPI,Pública Federal,MEDICINA VETERINÁRIA,Teresina,PI,3
UNIVERSIDADE FEDERAL DO PIAUÍ,UFPI,Pública Federal,AGRONOMIA,Teresina,PI,4
UNIVERSIDADE FEDERAL DO PIAUÍ,UFPI,Pública Federal,ENGENHARIA CIVIL,Teresina,PI,4
UNIVERSIDADE FEDERAL DO PIAUÍ,UFPI,Pública Federal,FARMÁCIA,Teresina,PI,4
UNIVERSIDADE FEDERAL DO PIAUÍ,UFPI,Pública Federal,ARQUITETURA E URBANISMO,Teresina,PI,4
UNIVERSIDADE FEDERAL DE OURO PRETO,UFOP,Pública Federal,ENGENHARIA CIVIL,Ouro Preto,MG,5
UNIVERSIDADE FEDERAL DE OURO PRETO,UFOP,Pública Federal,FARMÁCIA,Ouro Preto,MG,4
UNIVERSIDADE FEDERAL DE OURO PRETO,UFOP,Pública Federal,NUTRIÇÃO,Ouro Preto,MG,5
UNIVERSIDADE FEDERAL DE SÃO CARLOS,UFSCAR,Pública Federal,ENGENHARIA CIVIL,São Carlos,SP,5
UNIVERSIDADE FEDERAL DE SÃO CARLOS,UFSCAR,Pública Federal,ENGENHARIA QUÍMICA,São Carlos,SP,4
UNIVERSIDADE FEDERAL DE SÃO CARLOS,UFSCAR,Pública Federal,ENFERMAGEM,São Carlos,SP,4
UNIVERSIDADE FEDERAL DE SÃO CARLOS,UFSCAR,Pública Federal,FISIOTERAPIA,São Carlos,SP,4
UNIVERSIDADE FEDERAL DE SÃO CARLOS,UFSCAR,Pública Federal,AGRONOMIA,Araras,SP,4
UNIVERSIDADE FEDERAL DE VIÇOSA,UFV,Pública Federal,AGRONOMIA,Viçosa,MG,5
UNIVERSIDADE FEDERAL DE VIÇOSA,UFV,Pública Federal,ENGENHARIA CIVIL,Viçosa,MG,5
UNIVERSIDADE FEDERAL DE VIÇOSA,UFV,Pública Federal,ENGENHARIA DE ALIMENTOS,Viçosa,MG,5
UNIVERSIDADE FEDERAL DE VIÇOSA,UFV,Pública Federal,ENGENHARIA FLORESTAL,Viçosa,MG,4
UNIVERSIDADE FEDERAL DE VIÇOSA,UFV,Pública Federal,MEDICINA VETERINÁRIA,Viçosa,MG,5
UNIVERSIDADE FEDERAL DE VIÇOSA,UFV,Pública Federal,NUTRIÇÃO,Viçosa,MG,5
UNIVERSIDADE FEDERAL DE VIÇOSA,UFV,Pública Federal,ZOOTECNIA,Viçosa,MG,5
UNIVERSIDADE FEDERAL DE VIÇOSA,UFV,Pública Federal,ARQUITETURA E URBANISMO,Viçosa,MG,4
UNIVERSIDADE ESTADUAL DE LONDRINA,UEL,Pública Estadual,ARQUITETURA E URBANISMO,Londrina,PR,4
UNIVERSIDADE ESTADUAL DE LONDRINA,UEL,Pública Estadual,AGRONOMIA,Londrina,PR,4
UNIVERSIDADE ESTADUAL DE LONDRINA,UEL,Pública Estadual,MEDICINA,Londrina,PR,3
UNIVERSIDADE ESTADUAL DE LONDRINA,UEL,Pública Estadual,FISIOTERAPIA,Londrina,PR,5
UNIVERSIDADE ESTADUAL DE LONDRINA,UEL,Pública Estadual,ODONTOLOGIA,Londrina,PR,4
UNIVERSIDADE ESTADUAL DE LONDRINA,UEL,Pública Estadual,FARMÁCIA,Londrina,PR,4
UNIVERSIDADE ESTADUAL DE LONDRINA,UEL,Pública Estadual,ENFERMAGEM,Londrina,PR,5
UNIVERSIDADE ESTADUAL DE LONDRINA,UEL,Pública Estadual,MEDICINA VETERINÁRIA,Londrina,PR,4
PONTIFÍCIA UNIVERSIDADE CATÓLICA DO PARANÁ,PUCPR,Comunitária/Confessional,ENGENHARIA CIVIL,Curitiba,PR,4
PONTIFÍCIA UNIVERSIDADE CATÓLICA DO PARANÁ,PUCPR,Comunitária/Confessional,ARQUITETURA E URBANISMO,Curitiba,PR,4
PONTIFÍCIA UNIVERSIDADE CATÓLICA DO PARANÁ,PUCPR,Comunitária/Confessional,ENFERMAGEM,Curitiba,PR,4
PONTIFÍCIA UNIVERSIDADE CATÓLICA DO PARANÁ,PUCPR,Comunitária/Confessional,MEDICINA,Curitiba,PR,4
PONTIFÍCIA UNIVERSIDADE CATÓLICA DO PARANÁ,PUCPR,Comunitária/Confessional,ODONTOLOGIA,Curitiba,PR,4
PONTIFÍCIA UNIVERSIDADE CATÓLICA DO PARANÁ,PUCPR,Comunitária/Confessional,FISIOTERAPIA,Curitiba,PR,4
PONTIFÍCIA UNIVERSIDADE CATÓLICA DO PARANÁ,PUCPR,Comunitária/Confessional,ENGENHARIA DE COMPUTAÇÃO I,Curitiba,PR,4
PONTIFÍCIA UNIVERSIDADE CATÓLICA DO PARANÁ,PUCPR,Comunitária/Confessional,ENGENHARIA ELÉTRICA,Curitiba,PR,4
PONTIFÍCIA UNIVERSIDADE CATÓLICA DO PARANÁ,PUCPR,Comunitária/Confessional,ENGENHARIA MECÂNICA,Curitiba,PR,5
PONTIFÍCIA UNIVERSIDADE CATÓLICA DO PARANÁ,PUCPR,Comunitária/Confessional,ENGENHARIA QUÍMICA,Curitiba,PR,4
UNIVERSIDADE CATÓLICA DE PERNAMBUCO,UNICAP,Comunitária/Confessional,FONOAUDIOLOGIA,Recife,PE,3
UNIVERSIDADE CATÓLICA DE PERNAMBUCO,UNICAP,Comunitária/Confessional,ENGENHARIA CIVIL,Recife,PE,4
UNIVERSIDADE CATÓLICA DE PERNAMBUCO,UNICAP,Comunitária/Confessional,ENGENHARIA QUÍMICA,Recife,PE,3
UNIVERSIDADE FEDERAL DO RIO GRANDE,FURG,Pública Federal,MEDICINA,Rio Grande,RS,4
UNIVERSIDADE FEDERAL DO RIO GRANDE,FURG,Pública Federal,ENGENHARIA CIVIL,Rio Grande,RS,4
UNIVERSIDADE FEDERAL DO RIO GRANDE,FURG,Pública Federal,ENGENHARIA MECÂNICA,Rio Grande,RS,4
UNIVERSIDADE FEDERAL DO RIO GRANDE,FURG,Pública Federal,ENGENHARIA QUÍMICA,Rio Grande,RS,4
UNIVERSIDADE FEDERAL DO RIO GRANDE,FURG,Pública Federal,ENFERMAGEM,Rio Grande,RS,4
UNIVERSIDADE FEDERAL DO RIO GRANDE,FURG,Pública Federal,ENGENHARIA DE ALIMENTOS,Rio Grande,RS,4
UNIVERSIDADE DE CAXIAS DO SUL,UCS,Comunitária/Confessional,MEDICINA,Caxias do Sul,RS,3
UNIVERSIDADE DE CAXIAS DO SUL,UCS,Comunitária/Confessional,ARQUITETURA E URBANISMO,Caxias do Sul,RS,3
UNIVERSIDADE DO VALE DO RIO DOS SINOS,UNISINOS,Comunitária/Confessional,ENFERMAGEM,São Leopoldo,RS,5
UNIVERSIDADE DO VALE DO RIO DOS SINOS,UNISINOS,Comunitária/Confessional,NUTRIÇÃO,São Leopoldo,RS,4
UNIVERSIDADE DO VALE DO RIO DOS SINOS,UNISINOS,Comunitária/Confessional,ARQUITETURA E URBANISMO,São Leopoldo,RS,5
UNIVERSIDADE CATÓLICA DE PETRÓPOLIS,UCP,Comunitária/Confessional,ENGENHARIA ELÉTRICA,Petrópolis,RJ,4
UNIVERSIDADE CATÓLICA DE PETRÓPOLIS,UCP,Comunitária/Confessional,ENGENHARIA MECÂNICA,Petrópolis,RJ,3
UNIVERSIDADE CATÓLICA DE PETRÓPOLIS,UCP,Comunitária/Confessional,FISIOTERAPIA,Petrópolis,RJ,3
UNIVERSIDADE FEDERAL DE UBERLÂNDIA,UFU,Pública Federal,AGRONOMIA,Uberlândia,MG,4
UNIVERSIDADE FEDERAL DE UBERLÂNDIA,UFU,Pública Federal,MEDICINA,Uberlândia,MG,3
UNIVERSIDADE FEDERAL DE UBERLÂNDIA,UFU,Pública Federal,MEDICINA VETERINÁRIA,Uberlândia,MG,4
UNIVERSIDADE FEDERAL DE UBERLÂNDIA,UFU,Pública Federal,ODONTOLOGIA,Uberlândia,MG,4
UNIVERSIDADE FEDERAL DE UBERLÂNDIA,UFU,Pública Federal,ENGENHARIA CIVIL,Uberlândia,MG,4
UNIVERSIDADE FEDERAL DE UBERLÂNDIA,UFU,Pública Federal,ENGENHARIA ELÉTRICA,Uberlândia,MG,5
UNIVERSIDADE FEDERAL DE UBERLÂNDIA,UFU,Pública Federal,ENGENHARIA MECÂNICA,Uberlândia,MG,4
UNIVERSIDADE FEDERAL DE UBERLÂNDIA,UFU,Pública Federal,ENGENHARIA QUÍMICA,Uberlândia,MG,4
UNIVERSIDADE CATÓLICA DE PELOTAS,UCPEL,Comunitária/Confessional,ENGENHARIA CIVIL,Pelotas,RS,2
UNIVERSIDADE CATÓLICA DE PELOTAS,UCPEL,Comunitária/Confessional,MEDICINA,Pelotas,RS,3
UNIVERSIDADE CATÓLICA DE PELOTAS,UCPEL,Comunitária/Confessional,ARQUITETURA E URBANISMO,Pelotas,RS,4
PONTIFÍCIA UNIVERSIDADE CATÓLICA DE CAMPINAS,PUC-CAMPINAS,Comunitária/Confessional,ENFERMAGEM,Campinas,SP,4
PONTIFÍCIA UNIVERSIDADE CATÓLICA DE CAMPINAS,PUC-CAMPINAS,Comunitária/Confessional,FISIOTERAPIA,Campinas,SP,4
PONTIFÍCIA UNIVERSIDADE CATÓLICA DE CAMPINAS,PUC-CAMPINAS,Comunitária/Confessional,MEDICINA,Campinas,SP,3
PONTIFÍCIA UNIVERSIDADE CATÓLICA DE CAMPINAS,PUC-CAMPINAS,Comunitária/Confessional,NUTRIÇÃO,Campinas,SP,4
PONTIFÍCIA UNIVERSIDADE CATÓLICA DE CAMPINAS,PUC-CAMPINAS,Comunitária/Confessional,ODONTOLOGIA,Campinas,SP,4
PONTIFÍCIA UNIVERSIDADE CATÓLICA DE CAMPINAS,PUC-CAMPINAS,Comunitária/Confessional,ARQUITETURA E URBANISMO,Campinas,SP,4
PONTIFÍCIA UNIVERSIDADE CATÓLICA DE CAMPINAS,PUC-CAMPINAS,Comunitária/Confessional,ENGENHARIA CIVIL,Campinas,SP,4
PONTIFÍCIA UNIVERSIDADE CATÓLICA DE CAMPINAS,PUC-CAMPINAS,Comunitária/Confessional,FONOAUDIOLOGIA,Campinas,SP,4
UNIVERSIDADE DE PASSO FUNDO,UPF,Comunitária/Confessional,ENGENHARIA MECÂNICA,Passo Fundo,RS,4
UNIVERSIDADE DE PASSO FUNDO,UPF,Comunitária/Confessional,MEDICINA,Passo Fundo,RS,4
UNIVERSIDADE DE PASSO FUNDO,UPF,Comunitária/Confessional,ODONTOLOGIA,Passo Fundo,RS,4
UNIVERSIDADE DE PASSO FUNDO,UPF,Comunitária/Confessional,ENFERMAGEM,Passo Fundo,RS,4
UNIVERSIDADE DE PASSO FUNDO,UPF,Comunitária/Confessional,AGRONOMIA,Passo Fundo,RS,4
UNIVERSIDADE DE PASSO FUNDO,UPF,Comunitária/Confessional,ARQUITETURA E URBANISMO,Passo Fundo,RS,4
PONTIFÍCIA UNIVERSIDADE CATÓLICA DO RIO GRANDE DO SUL,PUCRS,Comunitária/Confessional,MEDICINA,Porto Alegre,RS,4
PONTIFÍCIA UNIVERSIDADE CATÓLICA DO RIO GRANDE DO SUL,PUCRS,Comunitária/Confessional,ODONTOLOGIA,Porto Alegre,RS,4
PONTIFÍCIA UNIVERSIDADE CATÓLICA DO RIO GRANDE DO SUL,PUCRS,Comunitária/Confessional,ENGENHARIA CIVIL,Porto Alegre,RS,4
PONTIFÍCIA UNIVERSIDADE CATÓLICA DO RIO GRANDE DO SUL,PUCRS,Comunitária/Confessional,ENGENHARIA MECÂNICA,Porto Alegre,RS,4
PONTIFÍCIA UNIVERSIDADE CATÓLICA DO RIO GRANDE DO SUL,PUCRS,Comunitária/Confessional,ENGENHARIA QUÍMICA,Porto Alegre,RS,4
PONTIFÍCIA UNIVERSIDADE CATÓLICA DO RIO GRANDE DO SUL,PUCRS,Comunitária/Confessional,ENGENHARIA ELÉTRICA,Porto Alegre,RS,4
PONTIFÍCIA UNIVERSIDADE CATÓLICA DO RIO GRANDE DO SUL,PUCRS,Comunitária/Confessional,FARMÁCIA,Porto Alegre,RS,5
PONTIFÍCIA UNIVERSIDADE CATÓLICA DO RIO GRANDE DO SUL,PUCRS,Comunitária/Confessional,ENGENHARIA DE CONTROLE E AUTOMAÇÃO,Porto Alegre,RS,4
UNIVERSIDADE PRESBITERIANA MACKENZIE,MACKENZIE,Comunitária/Confessional,ARQUITETURA E URBANISMO,São Paulo,SP,3
UNIVERSIDADE PRESBITERIANA MACKENZIE,MACKENZIE,Comunitária/Confessional,ENGENHARIA CIVIL,São Paulo,SP,4
UNIVERSIDADE PRESBITERIANA MACKENZIE,MACKENZIE,Comunitária/Confessional,ENGENHARIA MECÂNICA,São Paulo,SP,4
UNIVERSIDADE FEEVALE,FEEVALE,Comunitária/Confessional,FISIOTERAPIA,Novo Hamburgo,RS,4
UNIVERSIDADE ESTADUAL DE SANTA CRUZ,UESC,Pública Estadual,ENFERMAGEM,Ilhéus,BA,4
UNIVERSIDADE ESTADUAL DE SANTA CRUZ,UESC,Pública Estadual,AGRONOMIA,Ilhéus,BA,4
UNIVERSIDADE FEDERAL DO AMAZONAS,UFAM,Pública Federal,ENFERMAGEM,Manaus,AM,4
Centro Universitário Vale do Rio Verde,,Privada sem fins lucrativos,ODONTOLOGIA,Três Corações,MG,3
UNIVERSIDADE ESTADUAL DO CEARÁ,UECE,Pública Estadual,MEDICINA VETERINÁRIA,Fortaleza,CE,4
UNIVERSIDADE ESTADUAL DO CEARÁ,UECE,Pública Estadual,ENFERMAGEM,Fortaleza,CE,4
UNIVERSIDADE ESTADUAL DO CEARÁ,UECE,Pública Estadual,NUTRIÇÃO,Fortaleza,CE,4
UNIVERSIDADE PROFESSOR EDSON ANTÔNIO VELANO,UNIFENAS,Privada sem fins lucrativos,MEDICINA VETERINÁRIA,Alfenas,MG,4
UNIVERSIDADE PROFESSOR EDSON ANTÔNIO VELANO,UNIFENAS,Privada sem fins lucrativos,ODONTOLOGIA,Alfenas,MG,4
UNIVERSIDADE PROFESSOR EDSON ANTÔNIO VELANO,UNIFENAS,Privada sem fins lucrativos,AGRONOMIA,Alfenas,MG,5
UNIVERSIDADE PROFESSOR EDSON ANTÔNIO VELANO,UNIFENAS,Privada sem fins lucrativos,MEDICINA,Alfenas,MG,4
UNIVERSIDADE ESTADUAL DE CIÊNCIAS DA SAÚDE DE ALAGOAS - UNCISAL,UNCISAL,Pública Estadual,FONOAUDIOLOGIA,Maceió,AL,5
UNIVERSIDADE ESTADUAL DE CIÊNCIAS DA SAÚDE DE ALAGOAS - UNCISAL,UNCISAL,Pública Estadual,FISIOTERAPIA,Maceió,AL,4
UNIVERSIDADE DO ESTADO DA BAHIA,UNEB,Pública Estadual,AGRONOMIA,Juazeiro,BA,4
UNIVERSIDADE DO ESTADO DA BAHIA,UNEB,Pública Estadual,NUTRIÇÃO,Salvador,BA,5
FUNDAÇÃO UNIVERSIDADE DO ESTADO DE SANTA CATARINA,UDESC,Pública Estadual,ENGENHARIA ELÉTRICA,Joinville,SC,4
FUNDAÇÃO UNIVERSIDADE DO ESTADO DE SANTA CATARINA,UDESC,Pública Estadual,MEDICINA VETERINÁRIA,Lages,SC,4
FUNDAÇÃO UNIVERSIDADE DO ESTADO DE SANTA CATARINA,UDESC,Pública Estadual,AGRONOMIA,Lages,SC,4
FUNDAÇÃO UNIVERSIDADE DO ESTADO DE SANTA CATARINA,UDESC,Pública Estadual,ENGENHARIA MECÂNICA,Joinville,SC,4
FUNDAÇÃO UNIVERSIDADE DO ESTADO DE SANTA CATARINA,UDESC,Pública Estadual,ENGENHARIA CIVIL,Joinville,SC,5
FUNDAÇÃO UNIVERSIDADE DO ESTADO DE SANTA CATARINA,UDESC,Pública Estadual,FISIOTERAPIA,Florianópolis,SC,4
CENTRO UNIVERSITÁRIO DE ITAJUBÁ,FEPI,Privada sem fins lucrativos,ENGENHARIA CIVIL,Itajubá,MG,4
CENTRO UNIVERSITÁRIO DO SUL DE MINAS,UNIS-MG,Privada sem fins lucrativos,ENGENHARIA MECÂNICA,Varginha,MG,3
UNIVERSIDADE ESTADUAL DE CAMPINAS,UNICAMP,Pública Estadual,ENGENHARIA QUÍMICA,Campinas,SP,4
UNIVERSIDADE ESTADUAL DE CAMPINAS,UNICAMP,Pública Estadual,ENGENHARIA MECÂNICA,Campinas,SP,5
UNIVERSIDADE ESTADUAL DE CAMPINAS,UNICAMP,Pública Estadual,ENGENHARIA ELÉTRICA,Campinas,SP,5
UNIVERSIDADE ESTADUAL DE CAMPINAS,UNICAMP,Pública Estadual,ENGENHARIA CIVIL,Campinas,SP,5
UNIVERSIDADE ESTADUAL DE CAMPINAS,UNICAMP,Pública Estadual,ENGENHARIA DE ALIMENTOS,Campinas,SP,4
UNIVERSIDADE ESTADUAL DE CAMPINAS,UNICAMP,Pública Estadual,ODONTOLOGIA,Piracicaba,SP,4
UNIVERSIDADE ESTADUAL DE CAMPINAS,UNICAMP,Pública Estadual,MEDICINA,Campinas,SP,4
UNIVERSIDADE ESTADUAL DE CAMPINAS,UNICAMP,Pública Estadual,ENFERMAGEM,Campinas,SP,SC
UNIVERSIDADE ESTADUAL DE CAMPINAS,UNICAMP,Pública Estadual,ENGENHARIA DE COMPUTAÇÃO I,Campinas,SP,5
UNIVERSIDADE ESTADUAL DE CAMPINAS,UNICAMP,Pública Estadual,ENGENHARIA DE ALIMENTOS,Campinas,SP,5
UNIVERSIDADE ESTADUAL DE CAMPINAS,UNICAMP,Pública Estadual,ENGENHARIA ELÉTRICA,Campinas,SP,5
UNIVERSIDADE ESTADUAL DE CAMPINAS,UNICAMP,Pública Estadual,ENGENHARIA QUÍMICA,Campinas,SP,4
UNIVERSIDADE ESTADUAL PAULISTA JÚLIO DE MESQUITA FILHO,UNESP,Pública Estadual,ODONTOLOGIA,Araraquara,SP,4
UNIVERSIDADE ESTADUAL PAULISTA JÚLIO DE MESQUITA FILHO,UNESP,Pública Estadual,FARMÁCIA,Araraquara,SP,4
UNIVERSIDADE ESTADUAL PAULISTA JÚLIO DE MESQUITA FILHO,UNESP,Pública Estadual,ZOOTECNIA,Jaboticabal,SP,3
UNIVERSIDADE ESTADUAL PAULISTA JÚLIO DE MESQUITA FILHO,UNESP,Pública Estadual,AGRONOMIA,Jaboticabal,SP,4
UNIVERSIDADE ESTADUAL PAULISTA JÚLIO DE MESQUITA FILHO,UNESP,Pública Estadual,MEDICINA VETERINÁRIA,Jaboticabal,SP,4
UNIVERSIDADE ESTADUAL PAULISTA JÚLIO DE MESQUITA FILHO,UNESP,Pública Estadual,MEDICINA,Botucatu,SP,4
UNIVERSIDADE ESTADUAL PAULISTA JÚLIO DE MESQUITA FILHO,UNESP,Pública Estadual,AGRONOMIA,Botucatu,SP,4
UNIVERSIDADE ESTADUAL PAULISTA JÚLIO DE MESQUITA FILHO,UNESP,Pública Estadual,ENGENHARIA DE ALIMENTOS,São José do Rio Preto,SP,4
UNIVERSIDADE ESTADUAL PAULISTA JÚLIO DE MESQUITA FILHO,UNESP,Pública Estadual,ENGENHARIA ELÉTRICA,Ilha Solteira,SP,4
UNIVERSIDADE ESTADUAL PAULISTA JÚLIO DE MESQUITA FILHO,UNESP,Pública Estadual,AGRONOMIA,Ilha Solteira,SP,4
UNIVERSIDADE ESTADUAL PAULISTA JÚLIO DE MESQUITA FILHO,UNESP,Pública Estadual,ODONTOLOGIA,Araçatuba,SP,4
UNIVERSIDADE ESTADUAL PAULISTA JÚLIO DE MESQUITA FILHO,UNESP,Pública Estadual,ODONTOLOGIA,São José dos Campos,SP,4
UNIVERSIDADE ESTADUAL PAULISTA JÚLIO DE MESQUITA FILHO,UNESP,Pública Estadual,ENGENHARIA ELÉTRICA,Guaratinguetá,SP,4
UNIVERSIDADE ESTADUAL PAULISTA JÚLIO DE MESQUITA FILHO,UNESP,Pública Estadual,MEDICINA VETERINÁRIA,Botucatu,SP,4
UNIVERSIDADE ESTADUAL PAULISTA JÚLIO DE MESQUITA FILHO,UNESP,Pública Estadual,ZOOTECNIA,Botucatu,SP,3
UNIVERSIDADE ESTADUAL PAULISTA JÚLIO DE MESQUITA FILHO,UNESP,Pública Estadual,ENGENHARIA FLORESTAL,Botucatu,SP,4
UNIVERSIDADE ESTADUAL PAULISTA JÚLIO DE MESQUITA FILHO,UNESP,Pública Estadual,ENGENHARIA CIVIL,Bauru,SP,5
UNIVERSIDADE ESTADUAL PAULISTA JÚLIO DE MESQUITA FILHO,UNESP,Pública Estadual,ENGENHARIA DE PRODUÇÃO,Guaratinguetá,SP,4
UNIVERSIDADE ESTADUAL PAULISTA JÚLIO DE MESQUITA FILHO,UNESP,Pública Estadual,ENGENHARIA MECÂNICA,Bauru,SP,4
UNIVERSIDADE ESTADUAL PAULISTA JÚLIO DE MESQUITA FILHO,UNESP,Pública Estadual,ARQUITETURA E URBANISMO,Bauru,SP,4
UNIVERSIDADE ESTADUAL PAULISTA JÚLIO DE MESQUITA FILHO,UNESP,Pública Estadual,FISIOTERAPIA,Presidente Prudente,SP,4
UNIVERSIDADE ESTADUAL PAULISTA JÚLIO DE MESQUITA FILHO,UNESP,Pública Estadual,ENFERMAGEM,Botucatu,SP,5
UNIVERSIDADE ESTADUAL PAULISTA JÚLIO DE MESQUITA FILHO,UNESP,Pública Estadual,FONOAUDIOLOGIA,Marília,SP,4
UNIVERSIDADE ESTADUAL PAULISTA JÚLIO DE MESQUITA FILHO,UNESP,Pública Estadual,MEDICINA VETERINÁRIA,Araçatuba,SP,5
UNIVERSIDADE ESTADUAL DE MARINGÁ,UEM,Pública Estadual,ENGENHARIA CIVIL,Maringá,PR,5
UNIVERSIDADE ESTADUAL DE MARINGÁ,UEM,Pública Estadual,ENGENHARIA QUÍMICA,Maringá,PR,5
UNIVERSIDADE ESTADUAL DE MARINGÁ,UEM,Pública Estadual,FARMÁCIA,Maringá,PR,5
UNIVERSIDADE ESTADUAL DE MARINGÁ,UEM,Pública Estadual,ZOOTECNIA,Maringá,PR,4
UNIVERSIDADE ESTADUAL DE MARINGÁ,UEM,Pública Estadual,AGRONOMIA,Maringá,PR,4
UNIVERSIDADE ESTADUAL DE MARINGÁ,UEM,Pública Estadual,ODONTOLOGIA,Maringá,PR,4
UNIVERSIDADE ESTADUAL DE MARINGÁ,UEM,Pública Estadual,MEDICINA,Maringá,PR,4
CENTRO UNIVERSITÁRIO DA FUNDAÇÃO EDUCACIONAL DE BARRETOS,UNIFEB,Comunitária/Confessional,ODONTOLOGIA,Barretos,SP,3
ESCOLA DE ENGENHARIA DE PIRACICABA,EEP/FUMEP,Pública Municipal,ENGENHARIA CIVIL,Piracicaba,SP,3
ESCOLA DE ENGENHARIA DE PIRACICABA,EEP/FUMEP,Pública Municipal,ENGENHARIA AMBIENTAL,Piracicaba,SP,3
UNIVERSIDADE DO ESTADO DO RIO GRANDE DO NORTE,UERN,Pública Estadual,ENFERMAGEM,Mossoró,RN,4
Universidade Estadual do Paraná,UNESPAR,Pública Estadual,ENFERMAGEM,Paranavaí,PR,4
UNIVERSIDADE REGIONAL DE BLUMENAU,FURB,Pública Municipal,ENGENHARIA CIVIL,Blumenau,SC,3
UNIVERSIDADE REGIONAL DE BLUMENAU,FURB,Pública Municipal,ENGENHARIA QUÍMICA,Blumenau,SC,3
UNIVERSIDADE REGIONAL DE BLUMENAU,FURB,Pública Municipal,MEDICINA,Blumenau,SC,3
UNIVERSIDADE REGIONAL DE BLUMENAU,FURB,Pública Municipal,ENGENHARIA ELÉTRICA,Blumenau,SC,3
