 Nome da IES, Sigla da IES, Categoria Administrativa, Área de Avaliação, Município do Curso, Sigla da UF, CPC (Faixa)
Faculdade de Imperatriz Wyden,Facimp Wyden,Privada com fins lucrativos,BIOMEDICINA,Imperatriz,MA,4
Soberana Faculdade de Saúde de Petrolina,SOBERANA,Privada com fins lucrativos,FARMÁCIA,Petrolina,PE,3
Soberana Faculdade de Saúde de Petrolina,SOBERANA,Privada com fins lucrativos,ENFERMAGEM,Petrolina,PE,3
Centro Universitário Estácio do Recife,,Privada com fins lucrativos,ODONTOLOGIA,Recife,PE,3
FACULDADE DE EDUCAÇÃO E TECNOLOGIA DA AMAZÔNIA,FAM,Privada com fins lucrativos,ENFERMAGEM,Abaetetuba,PA,2
FACULDADE DE INTEGRAÇÃO DO SERTÃO,FIS,Privada com fins lucrativos,NUTRIÇÃO,Serra Talhada,PE,2
FACULDADE ANHANGUERA DE MACEIÓ,,Privada com fins lucrativos,NUTRIÇÃO,Maceió,AL,4
Faculdade Uninassau Arapiraca,,Privada com fins lucrativos,ENFERMAGEM,Arapiraca,AL,3
UNIVERSIDADE POSITIVO,UP,Privada com fins lucrativos,ENGENHARIA DE PRODUÇÃO,Curitiba,PR,3
Faculdade Multivix Vila Velha,MULTIVIX VILA V,Privada com fins lucrativos,ENFERMAGEM,Vila Velha,ES,5
Faculdade Multivix Vila Velha,MULTIVIX VILA V,Privada com fins lucrativos,FARMÁCIA,Vila Velha,ES,4
FACULDADE DE TECNOLOGIA SENAI LONDRINA,,Privada sem fins lucrativos,ENGENHARIA ELÉTRICA,Londrina,PR,4
UNIVERSIDADE POSITIVO,UP,Privada com fins lucrativos,BIOMEDICINA,Curitiba,PR,2
UNIVERSIDADE POSITIVO,UP,Privada com fins lucrativos,TECNOLOGIA EM ESTÉTICA E COSMÉTICA,Curitiba,PR,3
Centro Universitário de Ciências e Empreendedorismo,UNIFACEMP,Privada com fins lucrativos,ODONTOLOGIA,Santo Antônio de Jesus,BA,3
CENTRO UNIVERSITÁRIO ANHANGUERA DE SÃO PAULO,Anhanguera SP,Privada com fins lucrativos,MEDICINA VETERINÁRIA,São Paulo,SP,3
Faculdade de Imperatriz Wyden,Facimp Wyden,Privada com fins lucrativos,MEDICINA VETERINÁRIA,Imperatriz,MA,1
INSTITUTO NACIONAL DE TELECOMUNICAÇÕES,INATEL,Privada sem fins lucrativos,ENGENHARIA DE PRODUÇÃO,Santa Rita do Sapucaí,MG,4
Faculdade Multivix Serra,MULTIVIX SERRA,Privada com fins lucrativos,FARMÁCIA,Serra,ES,4
CENTRO UNIVERSITÁRIO LA SALLE,UNILASALLE - LUCAS,Privada sem fins lucrativos,ARQUITETURA E URBANISMO,Lucas do Rio Verde,MT,2
Centro Universitário LS,UNILS,Privada com fins lucrativos,BIOMEDICINA,Brasília,DF,3
Centro Universitário LS,UNILS,Privada com fins lucrativos,FISIOTERAPIA,Brasília,DF,4
Faculdade Presidente Antônio Carlos de Teófilo Otoni,,Privada com fins lucrativos,ODONTOLOGIA,Teófilo Otoni,MG,3
Centro Universitário UNIFATEB,,Privada com fins lucrativos,ENFERMAGEM,Telêmaco Borba,PR,3
UNIVERSIDADE FEDERAL DO MARANHÃO,UFMA,Pública Federal,ENGENHARIA ELÉTRICA,Balsas,MA,4
Centro Universitário LS,UNILS,Privada com fins lucrativos,TECNOLOGIA EM ESTÉTICA E COSMÉTICA,Brasília,DF,4
